,description,go_BioProc,go_CellComp,go_MolFunc,proteinname,sysname
1107,Putative protein of unknown function; similarity to DNA helicases that are also encoded within subtelomeric Y' elements and induced in telomerase deficient survivors,biological_process unknown,cellular_component unknown,nucleotide binding,YJL225C,YJL225C
1108,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR287C is not an essential gene,biological_process unknown,nucleus,molecular_function unknown,YLR287C,YLR287C
1109,"Cis-golgi GTPase-activating protein (GAP) for the Rab family members Ypt1p (in vivo) and for Ypt1p, Sec4p, Ypt7p, and Ypt51p (in vitro); involved in vesicle docking and fusion",intracellular protein transport,intracellular,GTPase activator activity,GYP1,YOR070C
1110,"Large subunit of the dynactin complex, which is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued)",establishment of mitotic spindle orientation,astral microtubule,motor activity,NIP100,YPL174C
1111,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps9Ap and has similarity to E. coli S4 and rat S9 ribosomal proteins,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",intracellular,RNA binding,RPS9B,YBR189W
1112,"Sporulation-specific enzyme required for spore wall maturation, involved in the production of a soluble LL-dityrosine-containing precursor of the spore wall; transcripts accumulate at the time of prospore enclosure",sporulation resulting in formation of a cellular spore,cellular_component unknown,catalytic activity,DIT1,YDR403W
1113,"Putative endonuclease, has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",biological_process unknown,mitochondrion,nuclease activity,NGL1,YOL042W
1114,"tRNA methyltransferase, methylates the N-1 position of guanosine in tRNAs",tRNA processing,nucleus,methyltransferase activity,TRM10,YOL093W
1115,"Cytoplasmic RNA-binding protein that associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif",cytoplasmic translation,cytoplasm,RNA binding,SRO9,YCL037C
1116,"Putative protein of unknown function with similarity to medium chain dehydrogenase/reductases; expression induced by stresses including osmotic shock, DNA damaging agents, and other chemicals; GFP-fusion protein localizes to the cytoplasm",biological_process unknown,cytoplasm,nucleotide binding,YML131W,YML131W
1117,Putative protein of unknown function,carbohydrate metabolic process,cellular_component unknown,molecular_function unknown,YNR071C,YNR071C
1118,Splicing factor required for the first step of pre-mRNA splicing; binding to the spliceosome requires Prp2p and Yju2p; heat-stable protein; has similarity to S. pombe Cwf25p,"mRNA splicing, via spliceosome",nucleus,molecular_function unknown,CWC25,YNL245C
1119,"Nuclear exosome-associated RNA binding protein; involved in surveillance of pre-rRNAs and pre-mRNAs, and the degradation of cryptic non-coding RNAs (ncRNA); copurifies with ribosomes","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nuclear exosome (RNase complex),RNA binding,MPP6,YNR024W
1120,Protein involved in early stages of meiotic recombination; required for chromosome synapsis; forms a complex with Rec104p and Spo11p necessary during the initiation of recombination,reciprocal meiotic recombination,condensed nuclear chromosome,molecular_function unknown,REC102,YLR329W
1121,"Transcription factor required for derepression of inositol-choline-regulated genes involved in phospholipid synthesis; forms a complex, with Ino2p, that binds the inositol-choline-responsive element through a basic helix-loop-helix domain","transcription, DNA-templated",nucleus,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",INO4,YOL108C
1122,Member of a transmembrane complex required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; interacts with Gal80p,protein folding in endoplasmic reticulum,endoplasmic reticulum,molecular_function unknown,EMC1,YCL045C
1123,"Nucleolar protein, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; contains four RNA recognition motifs (RRMs)","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,nucleotide binding,NOP4,YPL043W
1124,"Class E Vps protein of the ESCRT-III complex, required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis",transport,ESCRT III complex,molecular_function unknown,DID4,YKL002W
1125,"Evolutionarily conserved kinetochore protein that is part of multiple protein complexes, including the SCF ubiquitin ligase complex, the CBF3 complex that binds centromeric DNA, and the RAVE complex that regulates assembly of the V-ATPase",G1/S transition of mitotic cell cycle,"chromosome, centromeric region",DNA binding,SKP1,YDR328C
1126,"RNA polymerase subunit ABC27, common to RNA polymerases I, II, and III; contacts DNA and affects transactivation","transcription, RNA-templated",nucleus,RNA polymerase I activity,RPB5,YBR154C
1127,"U2B component of U2 snRNP, involved in splicing, binds the U2 snRNA stem-loop IV in vitro but requires association of Lea1p for in vivo binding; does not contain the conserved C-terminal RNA binding domain found in other family members","mRNA splicing, via spliceosome",nucleus,nucleotide binding,MSL1,YIR009W
1128,"Protein of unknown function, expressed during sporulation; not required for sporulation, but gene exhibits genetic interactions with other genes required for sporulation",sporulation resulting in formation of a cellular spore,cellular_component unknown,molecular_function unknown,SPR6,YER115C
1129,"Protein involved in repression of transcription at the silent mating-type loci HML and HMR; recruitment to silent chromatin requires interactions with Orc1p and with Sir4p, through a common Sir1p domain; binds to centromeric chromatin",establishment of chromatin silencing,"chromosome, centromeric region",chromatin binding,SIR1,YKR101W
1130,"TATA-binding protein, general transcription factor that interacts with other factors to form the preinitiation complex at promoters, essential for viability","transcription, DNA-templated",transcription factor TFIIIB complex,RNA polymerase II core promoter sequence-specific DNA binding,SPT15,YER148W
1131,Meiosis-specific transcription factor required for exit from pachytene and for full meiotic recombination; activates middle sporulation genes; competes with Sum1p for binding to promoters containing middle sporulation elements (MSE),"transcription, DNA-templated",nuclear chromosome,DNA binding,NDT80,YHR124W
1132,Non-essential protein of unknown function; deletion mutant is synthetically sick or lethal with alpha-synuclein,biological_process unknown,cellular_component unknown,molecular_function unknown,YCR050C,YCR050C
1133,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; predicted to be palmitoylated",biological_process unknown,fungal-type vacuole,molecular_function unknown,YLR001C,YLR001C
1134,"Meiosis-specific protein that localizes to chromosomes, preventing synapsis between nonhomologous chromosomes and ensuring synapsis between homologs; complexes with Mnd1p to promote homolog pairing and meiotic double-strand break repair",DNA recombination,condensed nuclear chromosome,DNA binding,HOP2,YGL033W
1135,"Small subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor; translationally regulated by an attenuator peptide encoded by YOR302W within the CPA1 mRNA 5'-leader",urea cycle,cytoplasm,nucleotide binding,CPA1,YOR303W
1136,"Putative protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth",biological_process unknown,mitochondrion,molecular_function unknown,AIM19,YIL087C
1137,"Putative GTPase activating protein (GAP) with a role in exocytosis; stimulates Gyp5p GAP activity on Ypt1p, colocalizes with Gyp5p at sites of polarized growth; interacts with Gyp5p, Rvs161p, and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth",transport,incipient cellular bud site,GTPase activator activity,GYL1,YMR192W
1138,Essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits; required for cleavage of the 20S pre-rRNA to generate the mature 18S rRNA,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,nuclease activity,NOB1,YOR056C
1139,RNA binding protein with preference for single stranded tracts of U's involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",intracellular,nucleic acid binding,RRP5,YMR229C
1140,"Protein of unknown function, contains an N-terminal epsin-like domain; proposed to be involved in the trafficking of Arn1p in the absence of ferrichrome",actin cortical patch assembly,cytosol,clathrin binding,ENT4,YLL038C
1141,"Subunit a of vacuolar-ATPase V0 domain, one of two isoforms (Vph1p and Stv1p); Vph1p is located in V-ATPase complexes of the vacuole while Stv1p is located in V-ATPase complexes of the Golgi and endosomes",protein complex assembly,"vacuolar proton-transporting V-type ATPase, V0 domain",hydrogen ion transmembrane transporter activity,VPH1,YOR270C
1142,"Component of the dynactin complex, localized to the pointed end of the Arp1p filament; may regulate membrane association of the complex",cytoskeleton organization,cytoplasm,motor activity,ARP10,YDR106W
1143,NAD(+)-dependent histone deacetylase; essential subunit of the Sum1p/Rfm1p/Hst1p complex required for ORC-dependent silencing and mitotic repression; non-essential subunit of the Set3C deacetylase complex; involved in telomere maintenance,chromatin silencing,nucleus,zinc ion binding,HST1,YOL068C
1144,Putative transcriptional repressor with proline-rich zinc fingers; overproduction impairs cell growth,"transcription, DNA-templated",nuclear chromatin,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",RGM1,YMR182C
1145,"Endoplasmic reticulum membrane protein, required for ER-associated protein degradation of misfolded or unassembled proteins; N- and C- termini protrude into the cytoplasm, has similarity to Dfm1p",transport,Hrd1p ubiquitin ligase ERAD-L complex,molecular_function unknown,DER1,YBR201W
1146,"Plasma membrane channel, member of major intrinsic protein (MIP) family; involved in efflux of glycerol and in uptake of acetic acid and the trivalent metalloids arsenite and antimonite; phosphorylated by Hog1p MAPK under acetate stress",conjugation with cellular fusion,fungal-type vacuole,transporter activity,FPS1,YLL043W
1147,"Protein that interacts with Rab GTPases, localized to late Golgi vesicles; computational analysis of large-scale protein-protein interaction data suggests a possible role in vesicle-mediated transport",biological_process unknown,Golgi apparatus,Rab GTPase binding,YIP5,YGL161C
1148,Putative protein of unknown function,proteolysis,fungal-type vacuole,molecular_function unknown,YDR415C,YDR415C
1149,"RING finger containing subunit of Skp1-Cullin-F-box ubiquitin protein ligases (SCF); required for Gic2p, Far1p, Sic1p and Cln2p degradation; may tether Cdc34p (a ubiquitin conjugating enzyme or E2) and Cdc53p (a cullin) subunits of SCF",G1/S transition of mitotic cell cycle,nucleus,ubiquitin-protein transferase activity,HRT1,YOL133W
1150,"Subunit of the SEA (Seh1-associated) complex, a coatomer-related complex that associates dynamically with the vacuole; has N-terminal WD-40 repeats and a C-terminal RING motif; mtc5 is synthetically sick with cdc13-1",transport,fungal-type vacuole membrane,molecular_function unknown,MTC5,YDR128W
1151,"Integral membrane protein required for the fusion of ER-derived COPII transport vesicles with the Golgi; interacts with Yip1p and Yos1p; localizes to the Golgi, the ER, and COPII vesicles; homolog of human YIPF3",transport,Golgi membrane,molecular_function unknown,YIF1,YNL263C
1152,"Peripheral peroxisomal membrane protein involved in controlling peroxisome size and number, interacts with homologous protein Pex25p",peroxisome organization,peroxisome,molecular_function unknown,PEX27,YOR193W
1153,"Probable transcriptional repressor involved in response to toxic agents such as hydroxyurea that inhibit ribonucleotide reductase; phosphorylation by Snf1p or the Mec1p pathway inactivates Mig3p, allowing induction of damage response genes",regulation of transcription from RNA polymerase II promoter by glucose,nuclear chromatin,RNA polymerase II core promoter proximal region sequence-specific DNA binding,MIG3,YER028C
1154,"Protein involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway; interacts with Far7p, Far8p, Far9p, Far10p, and Far11p; localizes to the endoplasmic reticulum",re-entry into mitotic cell cycle after pheromone arrest,Golgi cis cisterna,molecular_function unknown,FAR3,YMR052W
1155,Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; constitutes the core element of the protein conducting pore,transport,mitochondrion,protein channel activity,TOM40,YMR203W
1156,Omega class glutathione transferase; not essential; similar to Ygr154cp; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,glutathione metabolic process,cytoplasm,glutathione transferase activity,ECM4,YKR076W
1157,"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical subtypes (see also HTA2); DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p",negative regulation of transcription from RNA polymerase II promoter,nucleosome,DNA binding,HTA1,YDR225W
1158,"Actin assembly factor, activates the Arp2/3 protein complex that nucleates branched actin filaments; localizes with the Arp2/3 complex to actin patches; homolog of the human Wiskott-Aldrich syndrome protein (WASP)",cytokinesis,cytoplasm,actin binding,LAS17,YOR181W
1159,"Cu(+2)-transporting P-type ATPase, required for export of copper from the cytosol into an extracytosolic compartment; has similarity to human proteins involved in Menkes and Wilsons diseases",transport,Golgi apparatus,nucleotide binding,CCC2,YDR270W
1160,"Protein with some similarity to Spo12p; overexpression bypasses need for Spo12p, but not required for meiosis",cell cycle,cellular_component unknown,molecular_function unknown,BNS1,YGR230W
1161,"Cytosine deaminase, zinc metalloenzyme that catalyzes the hydrolytic deamination of cytosine to uracil; of biomedical interest because it also catalyzes the deamination of 5-fluorocytosine (5FC) to form anticancer drug 5-fluorouracil (5FU)",pyrimidine-containing compound salvage,nucleus,catalytic activity,FCY1,YPR062W
1162,"Checkpoint protein, involved in the activation of the DNA damage and meiotic pachytene checkpoints; subunit of a clamp loader that loads Rad17p-Mec3p-Ddc1p onto DNA; homolog of human and S. pombe Rad17 protein",DNA damage checkpoint,nuclear chromatin,nucleotide binding,RAD24,YER173W
1163,"Protein involved in regulation of cell wall composition and integrity and response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; similar to Lre1p, which functions antagonistically to protein kinase A",fungal-type cell wall organization,cytoplasm,molecular_function unknown,HLR1,YDR528W
1164,"2-enoyl thioester reductase, member of the medium chain dehydrogenase/reductase family; localized to in mitochondria, where it has a probable role in fatty acid synthesis",lipid metabolic process,mitochondrion,nucleotide binding,ETR1,YBR026C
1165,"Subunit A of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI), which is a site-specific endonuclease",intron homing,"vacuolar proton-transporting V-type ATPase, V1 domain",nucleotide binding,VMA1,YDL185W
1166,"Essential protein of the inner mitochondrial membrane, peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins",transport,mitochondrion,phospholipid binding,TIM12,YBR091C
1167,"Protein of unknown function, interacts with Rvs161p and Rvs167p; computational analysis of protein-protein interactions in large-scale studies suggests a possible role in actin filament organization",lipid metabolic process,cytoplasm,phosphatidate phosphatase activity,APP1,YNL094W
1168,"One of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; involved in cell separation during budding",cell separation after cytokinesis,nucleus,molecular_function unknown,SDS23,YGL056C
1169,"UDP-glucose:dolichyl-phosphate glucosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum",protein glycosylation,endoplasmic reticulum,dolichyl-phosphate-mannose-protein mannosyltransferase activity,ALG5,YPL227C
1170,Cis-golgi localized monothiol glutaredoxin that binds an iron-sulfur cluster; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; functional overlap with GRX7,cellular response to oxidative stress,fungal-type vacuole,glutathione-disulfide reductase activity,GRX6,YDL010W
1171,"Subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins; similar to and partially functionally redundant with Ost3p",protein complex assembly,endoplasmic reticulum,molecular_function unknown,OST6,YML019W
1172,"Flavin adenine dinucleotide (FAD) synthetase, performs the second step in synthesis of FAD from riboflavin",FAD biosynthetic process,cytoplasm,nucleotide binding,FAD1,YDL045C
1173,"Smaller subunit of the mitochondrial processing protease (MPP), essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins","mitochondrial electron transport, ubiquinol to cytochrome c",mitochondrion,catalytic activity,MAS1,YLR163C
1174,Protein that interacts with and inhibits carboxypeptidase Y and Ira2p; phosphatidylethanolamine-binding protein (PEBP) family member; targets to vacuolar membranes during stationary phase; acetylated by NatB N-terminal acetyltransferase,negative regulation of peptidase activity,fungal-type vacuole lumen,serine-type endopeptidase inhibitor activity,TFS1,YLR178C
1175,"Subunit of the nuclear pore complex (NPC), required for NPC localization of specific nucleoporins; involved in nuclear envelope permeability and chromosome segregation; has similar to Nup157p; essential role, with Nup157p, in NPC assembly",transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,nucleus,chromatin binding,NUP170,YBL079W
1176,"tRNA:pseudouridine synthase, introduces pseudouridines at position 38 or 39 in tRNA, important for maintenance of translation efficiency and normal cell growth, localizes to both the nucleus and cytoplasm; non-essential for viability",pseudouridine synthesis,nucleus,RNA binding,DEG1,YFL001W
1177,Putative protein with similarity to predicted tyrosine phosphatases Oca1p and Siw14p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YNL056W is not an essential gene,biological_process unknown,cytoplasm,molecular_function unknown,OCA2,YNL056W
1178,"Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex",mitochondrion inheritance,mitochondrion,phospholipid binding,NUM1,YDR150W
1179,Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA,transcription initiation from RNA polymerase I promoter for nuclear large rRNA transcript,nucleus,rDNA binding,RRN3,YKL125W
1180,"Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA; maintains structural integrity of Elongator; homolog of human IKAP, mutations in which cause familial dysautonomia (FD)",tRNA wobble uridine modification,nucleus,tRNA binding,IKI3,YLR384C
1181,Putative protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; null mutant is sensitive to expression of the top1-T722A allele,transport,fungal-type vacuole,molecular_function unknown,TDA6,YPR157W
1182,Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels,translation,mitochondrion,structural constituent of ribosome,MRPL38,YKL170W
1183,Subunit of the 19S regulatory particle of the 26S proteasome lid; acts as a ubiquitin receptor for the proteasome; null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability,ubiquitin-dependent protein catabolic process,proteasome complex,ubiquitin binding,RPN13,YLR421C
1184,"Zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type, involved in the regulation of arginine-responsive genes; acts with Arg80p and Arg82p",regulation of arginine metabolic process,nucleus,RNA polymerase II core promoter proximal region sequence-specific DNA binding,ARG81,YML099C
1185,"Mitochondrial inner membrane magnesium transporter, involved in maintenance of mitochondrial magnesium concentrations and membrane potential; indirectly affects splicing of group II introns; functionally and structurally related to Mrs2p",transport,mitochondrion,magnesium ion transmembrane transporter activity,MFM1,YPL060W
1186,"Putative chaperone, homolog of E. coli DnaJ, closely related to Ydj1p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",protein folding,nucleus,ATPase activator activity,XDJ1,YLR090W
1187,"Endoplasmic reticulum packaging chaperone, required for incorporation of amino acid permeases into COPII coated vesicles for transport to the cell surface",protein folding,endoplasmic reticulum,unfolded protein binding,SHR3,YDL212W
1188,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",protein folding,cytoplasm,nucleotide binding,CCT5,YJR064W
1189,"Adenine phosphoribosyltransferase, catalyzes the formation of AMP from adenine and 5-phosphoribosylpyrophosphate; involved in the salvage pathway of purine nucleotide biosynthesis",purine ribonucleoside salvage,nucleus,adenine phosphoribosyltransferase activity,APT1,YML022W
1190,"Protein involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway; interacts with Far3p, Far7p, Far9p, Far10p, and Far11p",re-entry into mitotic cell cycle after pheromone arrest,cellular_component unknown,molecular_function unknown,FAR8,YMR029C
1191,"Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensible for both nuclear divisions during meiosis",sporulation resulting in formation of a cellular spore,prospore membrane,molecular_function unknown,SPO73,YER046W
1192,"Protein of unknown function, expression is sensitive to nitrogen catabolite repression and regulated by Dal80p; contains transmembrane domain",nitrogen compound metabolic process,cellular_component unknown,molecular_function unknown,DCG1,YIR030C
1193,Component of the Trk1p-Trk2p potassium transport system,transport,plasma membrane,cation transmembrane transporter activity,TRK2,YKR050W
1194,"Arginyl-tRNA-protein transferase, catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway",cellular protein modification process,cytoplasm,arginyltransferase activity,ATE1,YGL017W
1195,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Ap and has similarity to rat L15 ribosomal protein; binds to 5.8 S rRNA",cytoplasmic translation,intracellular,RNA binding,RPL15B,YMR121C
1196,"Protein involved in the synthesis of N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI), the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; homologous to the human PIG-H protein",GPI anchor biosynthetic process,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,transferase activity,GPI15,YNL038W
1197,Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role,cellular aldehyde metabolic process,cellular_component unknown,oxidoreductase activity,AAD15,YOL165C
1198,RNA polymerase III subunit C53,transcription from RNA polymerase III promoter,nucleus,RNA polymerase III activity,RPC53,YDL150W
1199,"Accessory subunit of DNA polymerase zeta, involved in translesion synthesis during post-replication repair; required for mutagenesis induced by DNA damage; involved in double-strand break repair",DNA repair,nuclear chromatin,DNA-directed DNA polymerase activity,REV7,YIL139C
1200,"Subunit of a palmitoyltransferase, composed of Erf2p and Shr5p, that adds a palmitoyl lipid moiety to heterolipidated substrates such as Ras1p and Ras2p through a thioester linkage; mutants partially mislocalize Ras2p to the vacuole",protein targeting to membrane,endoplasmic reticulum,zinc ion binding,ERF2,YLR246W
1201,"Adenylosuccinate lyase, catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency",purine nucleotide biosynthetic process,cellular_component unknown,catalytic activity,ADE13,YLR359W
1202,Protein involved in 20S proteasome assembly; forms a heterodimer with Add66p that binds to proteasome precursors; similar to human PAC1 constituent of the PAC1-PAC2 complex involved in proteasome assembly,proteasome assembly,cytoplasm,molecular_function unknown,PBA1,YLR199C
1203,JmjC domain family histone demethylase specific for H3-K4 (histone H3 Lys4); removes methyl groups specifically added by Set1p methyltransferase; protein levels regulated by Not4p (E3 ubiquitin ligase) polyubiquitin-mediated degradation,negative regulation of transcription from RNA polymerase II promoter,nucleus,zinc ion binding,JHD2,YJR119C
1204,"Putative protein of unknown function; similar to transcriptional regulators from the Zn[2]-Cys[6] binuclear cluster protein family; mRNA is weakly cell cycle regulated, peaking in S phase; induced rapidly upon MMS treatment","transcription, DNA-templated",cellular_component unknown,RNA polymerase II core promoter proximal region sequence-specific DNA binding,YJL206C,YJL206C
1205,Putative protein of unknown function; predicted prenylation/proteolysis target of Afc1p and Rce1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YGL082W is not an essential gene,proteolysis,nucleus,molecular_function unknown,YGL082W,YGL082W
1206,"Subunit beta of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",protein folding,cytoplasm,nucleotide binding,CCT2,YIL142W
1207,Alkaline phosphatase specific for p-nitrophenyl phosphate; also has protein phosphatase activity,protein dephosphorylation,nucleus,alkaline phosphatase activity,PHO13,YDL236W
1208,"CAP (cyclase-associated protein) subunit of adenylyl cyclase complex; N-terminus binds adenylyl cyclase and facilitates activation by RAS; C-terminus binds ADP-actin monomers, facilitating regulation of actin dynamics and cell morphogenesis",cell morphogenesis,cytoplasm,actin binding,SRV2,YNL138W
1209,"Integral membrane protein involved in glycosylphosphatidylinositol (GPI) anchor synthesis; putative alpha 1,2 mannosyltransferase required for addition of the third mannose onto the GPI core structure; human PIG-Bp is a functional homolog",GPI anchor biosynthetic process,endoplasmic reticulum,dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity,GPI10,YGL142C
1210,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; transposon insertion mutant is salt sensitive and null mutant has growth defects; non-tagged protein is detected in purified mitochondria,translation,mitochondrion,nucleotide binding,GTF1,YGR102C
1211,"Outer kinetochore protein, required for accurate mitotic chromosome segregation; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as a platform for kinetochore assembly",cell cycle,"chromosome, centromeric region",molecular_function unknown,OKP1,YGR179C
1212,"Putative serine type carboxypeptidase with a role in phytochelatin synthesis; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner",proteolysis,fungal-type vacuole,carboxypeptidase activity,YBR139W,YBR139W
1213,Transmembrane protein subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins; human PIG-Tp homolog,GPI anchor biosynthetic process,endoplasmic reticulum,GPI-anchor transamidase activity,GPI16,YHR188C
1214,"Protein involved in ubiquitination; plays a role in regulating spindle position and orientation; functionally redundant with Dma1p; orthologous to human RNF8 protein, also has sequence similarity to human Chfr",establishment of mitotic spindle orientation,cytoplasm,ubiquitin-protein transferase activity,DMA2,YNL116W
1215,"Essential protein involved in nuclear export of Mss4p, which is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport",ribosomal large subunit export from nucleus,nucleus,molecular_function unknown,BCP1,YDR361C
1216,Putative protein of unknown function; transcription is regulated by Ume6p and induced in response to alpha factor,"transcription, DNA-templated",synaptonemal complex,molecular_function unknown,GMC2,YLR445W
1217,"High-affinity zinc transporter of the plasma membrane, responsible for the majority of zinc uptake; transcription is induced under low-zinc conditions by the Zap1p transcription factor",transport,endoplasmic reticulum,high-affinity zinc uptake transmembrane transporter activity,ZRT1,YGL255W
1218,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps25Ap and has similarity to rat S25 ribosomal protein,cytoplasmic translation,cytoplasm,structural constituent of ribosome,RPS25B,YLR333C
1219,Putative kinase with similarity to the phosphoribulokinase/uridine kinase/bacterial pantothenate kinase (PRK/URK/PANK) subfamily of P-loop kinases,phosphorylation,cellular_component unknown,nucleotide binding,YFH7,YFR007W
1220,Protein involved in the transport of cell wall components from the Golgi to the cell surface; similar in structure and functionally redundant with Sbe2p; involved in bud growth,transport,cytoplasm,molecular_function unknown,SBE22,YHR103W
1221,Scaffold protein that assists in association of the proteasome core particle with the regulatory particle; degraded by the mature proteasome after assembly; contains HEAT-like repeats,proteasome assembly,proteasome complex,protein complex scaffold,ECM29,YHL030W
1222,Choline/ethanolamine transporter; involved in the uptake of nitrogen mustard and the uptake of glycine betaine during hypersaline stress; co-regulated with phospholipid biosynthetic genes and negatively regulated by choline and myo-inositol,amino acid transmembrane transport,endoplasmic reticulum,amino acid transmembrane transporter activity,HNM1,YGL077C
1223,"Protein kinase involved in regulating diverse events including vesicular trafficking, DNA repair, and chromosome segregation; binds the CTD of RNA pol II; homolog of mammalian casein kinase 1delta (CK1delta)",tRNA wobble uridine modification,"chromosome, centromeric region",nucleotide binding,HRR25,YPL204W
1224,"Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins",biological_process unknown,fungal-type vacuole,molecular_function unknown,COS2,YBR302C
1225,Protein of unknown function that associates with translating ribosomes; interacts with GTPase Rbg1p,cytoplasmic translation,cytoplasm,molecular_function unknown,TMA46,YOR091W
